id,name,code,ppd_id,address,phone,email,principal_name,target_students
1,"SMK Demo 1",SMKDEMO1,1,"Alamat Sekolah 1",07-0011234,smkdemo1@moe-dl.edu.my,"Pengetua 1",44
2,"SMK Demo 2",SMKDEMO2,1,"Alamat Sekolah 2",07-0021234,smkdemo2@moe-dl.edu.my,"Pengetua 2",44
3,"SMK Demo 3",SMKDEMO3,1,"Alamat Sekolah 3",07-0031234,smkdemo3@moe-dl.edu.my,"Pengetua 3",44
4,"SMK Demo 4",SMKDEMO4,1,"Alamat Sekolah 4",07-0041234,smkdemo4@moe-dl.edu.my,"Pengetua 4",44
5,"SMK Demo 5",SMKDEMO5,1,"Alamat Sekolah 5",07-0051234,smkdemo5@moe-dl.edu.my,"Pengetua 5",44
6,"SMK Demo 6",SMKDEMO6,1,"Alamat Sekolah 6",07-0061234,smkdemo6@moe-dl.edu.my,"Pengetua 6",44
7,"SMK Demo 7",SMKDEMO7,1,"Alamat Sekolah 7",07-0071234,smkdemo7@moe-dl.edu.my,"Pengetua 7",44
8,"SMK Demo 8",SMKDEMO8,1,"Alamat Sekolah 8",07-0081234,smkdemo8@moe-dl.edu.my,"Pengetua 8",44
9,"SMK Demo 9",SMKDEMO9,2,"Alamat Sekolah 9",07-0091234,smkdemo9@moe-dl.edu.my,"Pengetua 9",44
10,"SMK Demo 10",SMKDEMO10,2,"Alamat Sekolah 10",07-0101234,smkdemo10@moe-dl.edu.my,"Pengetua 10",44
11,"SMK Demo 11",SMKDEMO11,2,"Alamat Sekolah 11",07-0111234,smkdemo11@moe-dl.edu.my,"Pengetua 11",44
12,"SMK Demo 12",SMKDEMO12,2,"Alamat Sekolah 12",07-0121234,smkdemo12@moe-dl.edu.my,"Pengetua 12",44
13,"SMK Demo 13",SMKDEMO13,2,"Alamat Sekolah 13",07-0131234,smkdemo13@moe-dl.edu.my,"Pengetua 13",44
14,"SMK Demo 14",SMKDEMO14,2,"Alamat Sekolah 14",07-0141234,smkdemo14@moe-dl.edu.my,"Pengetua 14",44
15,"SMK Demo 15",SMKDEMO15,3,"Alamat Sekolah 15",07-0151234,smkdemo15@moe-dl.edu.my,"Pengetua 15",44
16,"SMK Demo 16",SMKDEMO16,3,"Alamat Sekolah 16",07-0161234,smkdemo16@moe-dl.edu.my,"Pengetua 16",44
17,"SMK Demo 17",SMKDEMO17,3,"Alamat Sekolah 17",07-0171234,smkdemo17@moe-dl.edu.my,"Pengetua 17",44
18,"SMK Demo 18",SMKDEMO18,3,"Alamat Sekolah 18",07-0181234,smkdemo18@moe-dl.edu.my,"Pengetua 18",44
19,"SMK Demo 19",SMKDEMO19,3,"Alamat Sekolah 19",07-0191234,smkdemo19@moe-dl.edu.my,"Pengetua 19",44
20,"SMK Demo 20",SMKDEMO20,3,"Alamat Sekolah 20",07-0201234,smkdemo20@moe-dl.edu.my,"Pengetua 20",44
